"property_id","property_question","property_answer","next_property_id","property_sub_question","property_sub_answer_yes","property_sub_answer_no","next_context"
1,設定したテーマに関する現実状態に対するデータ取得を行いましたか？,現実状態に対するデータ取得を行うように助言してください。,2,,,,
2,現実状態に対する取得したデータのデータ分析を行いましたか？,現実状態に対するデータ分析を行うように助言してください。,3,,,,
3,現実状態に対するデータ分析から考察を行いましたか？,現実状態に対する考察を行うように助言してください。,4,,,,現実状態調査は完了しています。次，問題発見を行うように助言してください。
4,現実状態の調査は実施していますか？,現実状態の調査を実施するように助言してください。,5,,,,
5,理想状態は考えていますか？,理想状態を考えるように助言してください。,6,,,,
6,現実状態と理想状態のギャップを考えていますか？,現実状態と理想状態のギャップを考えるように助言してください。,7,,,,現実調査と理想状態のギャップを問題と捉えましょう。問題に対する問いを立てるように助言してください。
7,問いを立てることができていますか？,問いを立てるように助言してください。,8,問いを立てることが難しそうですか？,"問いを立てるためには，多角的にみる必要があります。次のことに対する疑問文を作りましょう。
・場所に関する問いを立てる
・時期に関する問いを立てる
・言葉や用語の意味に関する問いを立てる
・対象者に関する問いを立てる
・信憑性に関する問いを立てる
・方法に関する問いを立てる",問いに対する予想した解を考え，仮説状態に到達することを見守りましょう,
8,問いに対する予想する解を考えていますか？,問いに対する予想する解を考えるように助言してください。,9,予想する解を考えることが難しそうですか？,問い状態が不十分な可能性があります。もう一度問い状態に戻ることも検討しましょう。,問いに対する予想した解を考え，仮説状態に到達することを見守りましょう,
9,予想した解に該当する情報を目的変数と呼ぶことにします。どのような目的変数に該当する情報収集を行うを決めましたか？,予想した解に該当する収集する情報を決めるように助言してください。,10,,,,
10,目的変数に影響を与える情報はどのような情報があるのか考えていますか？目的変数に影響を与える情報を説明変数と呼ぶことにします。,目的変数に影響を与える情報を，考えられる情報を複数あげるように助言してください。,11,,,,
11,今回の探究学習で収集する説明変数は決定していますか？,今回の探究学習で収集する説明変数を決定するように助言してください。,12,今回の探究学習で実施する課題を設定することができています。次のフェーズに進むように助言してください。,,,
12,探究学習をPlanフェーズに進みます。 ,,13,,,,
13,環境的にデータ収集が可能かどうか確認しましたか？,データ収集が実行可能であるかを確認するように助言してください。,14,,,,
14,探究学習を進めるために，必要な人は実行可能かなどの確認をしましたか？,実行する人は実行可能であるかを確認するように助言してください。,15,,,,
15,探究学習を進めるために，金銭面で問題ないかどうか確認しましたか？,実行するための金銭面は問題ないかどうか確認するように助言してください。,16,,,,
16,探究学習を進めるために，期限内に実行可能かどうか確認しましたか？,期限内に実行可能かどうかを確認するように助言してください。,17,今回の探究学習が実行可能であることを確認できています。次のフェーズに進むように助言してください。,,,
17,今回の探究学習が実行可能であることを確認できています。次のフェーズに進むように助言してください。,,18,,,,
18,探究学習を進めるために，データを取得したかどうか確認しましたか？,データを取得したかどうかを確認するように助言してください。,19,,,,
19,今回の探究学習のデータ収集状態が達成できていることが確認できました。次のフェーズに進むように助言してください。,,20,今回の探究学習のデータ収集状態が達成できていることが確認できました。次のフェーズに進むように助言してください。,,,
20,探究学習を進めるために，収集したデータをデータ分析が可能な状態かどうか確認しましたか？,データ分析が可能な状態についてどのような状態であればよいかを理解していますか？,21,データ分析が可能な状態には，・可視化した状態・数値化した状態・モデル化した状態があります。それぞれの状態はどのような処理をすればよいか理解していますか？わからない状態があれば，わからないボタンを押してください。,データ分析が可能な状態となるように助言してください。,今回の探究学習のデータ分析状態が達成できていることが確認できました。次のフェーズに進むように助言してください。,
21,今回の探究学習のデータ分析状態が達成できていることが確認できました。次のフェーズに進むように助言してください。,,22,,,,
22,探究学習を進めるために，データ分析が可能な状態から，結果の言語化ができているかどうか確認しましたか？,分析状態を読み取り，結果を言語化するように助言してください。,23,,,,
23,探究学習を進めるために，結果の言語化から，考察ができているかどうか確認しましたか？,結果の言語化を読み取り，考察するように助言してください。,,,,,今回の探究学習は終了です。次は，発表するための準備をしてください.
